update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
56,114688,1062.3007125383726,69,0.9396379194382963,0.023740599009734048,0.8343999981880188,0.9711999893188477,16.767241379310345,6.594613474099184,8.0,46.0,1.2270890921354294,0.8423041328787804,-0.0022078578440414276,0.0015093264664756134,0.07580614011135929,0.9396379194382963,0.023740599009734048,0.8343999981880188,0.9711999893188477
57,116736,1085.9451324256331,71,0.9305206768471619,0.0893255802990165,0.0,0.9711999893188477,19.060344827586206,22.326452840359973,8.0,250.0,1.3025920391082764,0.838284507393837,0.012975835823453963,0.0032249086652882397,0.10816679819963543,0.9305206768471619,0.0893255802990165,0.0,0.9711999893188477
58,118784,1096.9899200034124,72,0.9344145341352983,0.02650067631710652,0.8271999955177307,0.9747999906539917,18.21818181818182,7.361301537810995,7.0,48.0,1.2778972536325455,0.8440001308917999,0.0011151164799230173,0.0013613975897897035,0.04667719413627444,0.9344145341352983,0.02650067631710652,0.8271999955177307,0.9747999906539917
59,120832,1079.6514310643597,74,0.9347221107609505,0.018120675069035138,0.8776000142097473,0.9639999866485596,18.13274336283186,5.033523765763807,10.0,34.0,1.3047999739646912,0.8541926816105843,0.005039375741034746,0.0009570175825501792,0.04752625640836601,0.9347221107609505,0.018120675069035138,0.8776000142097473,0.9639999866485596
60,122880,1103.4885652535397,76,0.9327207426979857,0.02487458375690737,0.8416000008583069,0.9675999879837036,18.68867924528302,6.909609397729503,9.0,44.0,1.3161213248968124,0.8374417424201965,0.00284031836054055,0.0012305860000196844,0.03903798488154029,0.9327207426979857,0.02487458375690737,0.8416000008583069,0.9675999879837036
61,124928,1091.1490613696628,78,0.933384059277256,0.023980926905135595,0.8596000075340271,0.9711999893188477,18.504424778761063,6.661371797658696,8.0,39.0,1.2782407701015472,0.838416688144207,-0.0061087536450941116,0.0011090455809608102,0.03885226820461815,0.933384059277256,0.023980926905135595,0.8596000075340271,0.9711999893188477
62,126976,1086.5203903104411,80,0.93573216251705,0.02118510065200905,0.8704000115394592,0.9747999906539917,17.85217391304348,5.88475329653322,7.0,36.0,1.2578468024730682,0.8500532954931259,-0.0023049997907946818,0.000877511985891033,0.03873971912621394,0.93573216251705,0.02118510065200905,0.8704000115394592,0.9747999906539917
63,129024,1097.5780640134378,82,0.9345230674132322,0.025749735154731907,0.8307999968528748,0.9747999906539917,18.188034188034187,7.152707483233989,7.0,47.0,1.3043723404407501,0.8472719714045525,0.004633647477021441,0.0011159485729876906,0.03826245529039639,0.9345230674132322,0.025749735154731907,0.8307999968528748,0.9747999906539917
64,131072,1096.9904803743843,84,0.9393491401510724,0.020789674700667712,0.8632000088691711,0.9711999893188477,16.847457627118644,5.774912309326257,8.0,38.0,1.283092737197876,0.8524046465754509,-0.004836151416384382,0.0009626922183088027,0.04321217016123917,0.9393491401510724,0.020789674700667712,0.8632000088691711,0.9711999893188477
65,133120,1116.110059424543,86,0.9347135016510079,0.023833127119193318,0.8416000008583069,0.9675999879837036,18.135135135135137,6.620316105904526,9.0,44.0,1.3653910011053085,0.8483945280313492,0.006834166357293725,0.0011002664105035365,0.044374319672325496,0.9347135016510079,0.023833127119193318,0.8416000008583069,0.9675999879837036
